"","X.1","X","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time","mes","dia_semana","hora"
"52",52,52,"tem atencao","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-23 02:00:00,12,"sábado",2
"53",53,53,"comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-09 09:00:00,11,"quinta-feira",9
"54",54,54,"comente","conforto","",4,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-04 16:00:00,12,"segunda-feira",16
"55",55,55,"organização","estacionamento","",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","",0,2023-11-11 10:00:00,11,"sábado",10
"56",56,56,"habilidosos","instagramavel","",5,"","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 13:00:00,12,"segunda-feira",13
"57",57,57,"tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",1,2023-12-07 08:00:00,12,"quinta-feira",8
"58",58,58,"habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-27 09:00:00,12,"quarta-feira",9
"59",59,59,"tem atencao","temperatura","",4,"Uma noite temática por semana seria interessante.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-12 05:00:00,11,"domingo",5
"60",60,60,"comente","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-15 03:00:00,12,"sexta-feira",3
"61",61,61,"comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","facil acesso","",0,2023-12-25 19:00:00,12,"segunda-feira",19
"62",62,62,"organização","conforto","O sorriso e a simpatia dos funcionários.",3,"","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-27 16:00:00,11,"segunda-feira",16
"63",63,63,"gente boa","conforto","",2,"Uma noite temática por semana seria interessante.","","A música ambiente mudou e agora está mais agradável.",1,2023-12-21,12,"quinta-feira",0
"64",64,64,"comente","instagramavel","",3,"","facil acesso","",1,2023-12-29 21:00:00,12,"sexta-feira",21
"65",65,65,"organização","estacionamento","",1,"Espero que o tempo de espera para ser atendido seja menor.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-20 06:00:00,11,"segunda-feira",6
"66",66,66,"habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",1,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-12-24 09:00:00,12,"domingo",9
"67",67,67,"organização","temperatura","O sorriso e a simpatia dos funcionários.",5,"Espero que o tempo de espera para ser atendido seja menor.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-03 21:00:00,12,"domingo",21
"68",68,68,"habilidosos","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-27 20:00:00,11,"segunda-feira",20
"69",69,69,"gente boa","temperatura","A limpeza e organização do local foram impecáveis.",4,"Adoraria ver mais opções de sobremesas sem glúten.","","",0,2023-12-02 16:00:00,12,"sábado",16
"70",70,70,"gente boa","conforto","",3,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","",0,2023-12-30 01:00:00,12,"sábado",1
"71",71,71,"comente","conforto","",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","",0,2023-11-16 02:00:00,11,"quinta-feira",2
"72",72,72,"tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",2,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","",0,2023-11-15 20:00:00,11,"quarta-feira",20
"73",73,73,"gente boa","instagramavel","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-11-22 22:00:00,11,"quarta-feira",22
"74",74,74,"gente boa","estacionamento","",4,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-17 03:00:00,11,"sexta-feira",3
"75",75,75,"habilidosos","conforto","",4,"Gostaria de ver opções de pratos veganos no menu.","","",1,2023-11-16 17:00:00,11,"quinta-feira",17
"76",76,76,"gente boa","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-06 16:00:00,12,"quarta-feira",16
"77",77,77,"organização","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Mais variedade de cervejas artesanais.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-25 09:00:00,12,"segunda-feira",9
"78",78,78,"gente boa","conforto","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-07 15:00:00,11,"terça-feira",15
"79",79,79,"comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","banheiros cheirosos","",0,2023-11-28 18:00:00,11,"terça-feira",18
"80",80,80,"tem atencao","conforto","",3,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-28 20:00:00,11,"terça-feira",20
"81",81,81,"tem atencao","conforto","A limpeza e organização do local foram impecáveis.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-12 04:00:00,11,"domingo",4
"82",82,82,"comente","acessibilidade","",1,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-28 09:00:00,12,"quinta-feira",9
"83",83,83,"gente boa","estacionamento","",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","",0,2023-12-06 19:00:00,12,"quarta-feira",19
"84",84,84,"comente","acessibilidade","O sorriso e a simpatia dos funcionários.",5,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-23 13:00:00,12,"sábado",13
"85",85,85,"organização","estacionamento","",4,"","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-27 21:00:00,12,"quarta-feira",21
"86",86,86,"habilidosos","conforto","A limpeza e organização do local foram impecáveis.",2,"","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-08 01:00:00,11,"quarta-feira",1
"87",87,87,"organização","conforto","",4,"","facil acesso","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 20:00:00,12,"quinta-feira",20
"88",88,88,"comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-29 03:00:00,12,"sexta-feira",3
"89",89,89,"organização","estacionamento","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-15 01:00:00,11,"quarta-feira",1
"90",90,90,"gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",0,2023-11-24 13:00:00,11,"sexta-feira",13
"91",91,91,"organização","temperatura","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","",1,2023-11-18 05:00:00,11,"sábado",5
"92",92,92,"gente boa","conforto","",1,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-12 16:00:00,11,"domingo",16
"93",93,93,"gente boa","instagramavel","",4,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-14 19:00:00,11,"terça-feira",19
"94",94,94,"gente boa","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-08 12:00:00,11,"quarta-feira",12
"95",95,95,"tem atencao","conforto","O estilo moderno e acolhedor do interior.",4,"Mais variedade de cervejas artesanais.","","",0,2023-11-17 15:00:00,11,"sexta-feira",15
"96",96,96,"tem atencao","temperatura","",4,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-11-24 15:00:00,11,"sexta-feira",15
"97",97,97,"comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Mais variedade de cervejas artesanais.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-06 02:00:00,11,"segunda-feira",2
"98",98,98,"tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"","o milkshake, eu viria só por ele","",0,2023-12-30 09:00:00,12,"sábado",9
"99",99,99,"habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",4,"","facil acesso","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-13 05:00:00,12,"quarta-feira",5
"100",100,100,"gente boa","estacionamento","",4,"Seria ótimo ter uma área para crianças brincarem.","","",0,2023-12-27 02:00:00,12,"quarta-feira",2
"101",101,101,"comente","instagramavel","A limpeza e organização do local foram impecáveis.",3,"","","",0,2023-12-02 19:00:00,12,"sábado",19
"102",102,102,"comente","temperatura","A limpeza e organização do local foram impecáveis.",5,"","o milkshake, eu viria só por ele","",1,2023-11-02 17:00:00,11,"quinta-feira",17
"103",103,103,"gente boa","estacionamento","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-03 03:00:00,11,"sexta-feira",3
"104",104,104,"organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-24 08:00:00,11,"sexta-feira",8
"105",105,105,"habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-03 08:00:00,11,"sexta-feira",8
"106",106,106,"organização","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-09 01:00:00,11,"quinta-feira",1
"107",107,107,"organização","temperatura","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-27 03:00:00,12,"quarta-feira",3
"108",108,108,"tem atencao","conforto","",4,"","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",1,2023-11-21 21:00:00,11,"terça-feira",21
"109",109,109,"habilidosos","conforto","",4,"Mais variedade de cervejas artesanais.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-08 07:00:00,11,"quarta-feira",7
"110",110,110,"organização","conforto","",1,"Seria melhor se o restaurante aceitasse reservas online.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-24 16:00:00,12,"domingo",16
"111",111,111,"comente","temperatura","A limpeza e organização do local foram impecáveis.",2,"","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-29 12:00:00,12,"sexta-feira",12
"112",112,112,"tem atencao","conforto","",5,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-01 05:00:00,11,"quarta-feira",5
"113",113,113,"gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-21 03:00:00,11,"terça-feira",3
"114",114,114,"habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",5,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-23 11:00:00,12,"sábado",11
"115",115,115,"tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",3,"","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-23 14:00:00,11,"quinta-feira",14
"116",116,116,"habilidosos","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","o milkshake, eu viria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-15 04:00:00,11,"quarta-feira",4
"117",117,117,"comente","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Gostaria de ver opções de pratos veganos no menu.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-09 01:00:00,11,"quinta-feira",1
"118",118,118,"organização","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-11-11 23:00:00,11,"sábado",23
"119",119,119,"habilidosos","temperatura","",5,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-05 08:00:00,12,"terça-feira",8
"120",120,120,"comente","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Uma noite temática por semana seria interessante.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-12 01:00:00,12,"terça-feira",1
"121",121,121,"tem atencao","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-14 06:00:00,12,"quinta-feira",6
"122",122,122,"organização","estacionamento","",3,"","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-12 10:00:00,11,"domingo",10
"123",123,123,"comente","temperatura","",3,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","",0,2023-11-12 03:00:00,11,"domingo",3
"124",124,124,"comente","temperatura","",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-28 12:00:00,12,"quinta-feira",12
"125",125,125,"comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-20 13:00:00,12,"quarta-feira",13
"126",126,126,"tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",3,"Uma noite temática por semana seria interessante.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-16 04:00:00,12,"sábado",4
"127",127,127,"tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-02 20:00:00,11,"quinta-feira",20
"128",128,128,"organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Seria melhor se o restaurante aceitasse reservas online.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-18 05:00:00,11,"sábado",5
"129",129,129,"comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-28 23:00:00,12,"quinta-feira",23
"130",130,130,"habilidosos","conforto","",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-26 09:00:00,12,"terça-feira",9
"131",131,131,"tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-30 14:00:00,11,"quinta-feira",14
"132",132,132,"comente","temperatura","O sorriso e a simpatia dos funcionários.",4,"","lugar arrumado","",1,2023-11-23 16:00:00,11,"quinta-feira",16
"133",133,133,"organização","estacionamento","",2,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","",1,2023-12-01 15:00:00,12,"sexta-feira",15
