"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"72","tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",2,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","",0,2023-11-15 20:00:00
"73","gente boa","instagramavel","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-11-22 22:00:00
"74","gente boa","estacionamento","",4,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-17 03:00:00
"75","habilidosos","conforto","",4,"Gostaria de ver opções de pratos veganos no menu.","","",1,2023-11-16 17:00:00
"76","gente boa","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-06 16:00:00
"77","organização","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Mais variedade de cervejas artesanais.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-25 09:00:00
"78","gente boa","conforto","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-07 15:00:00
"79","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","banheiros cheirosos","",0,2023-11-28 18:00:00
"80","tem atencao","conforto","",3,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-28 20:00:00
"81","tem atencao","conforto","A limpeza e organização do local foram impecáveis.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-12 04:00:00
"82","comente","acessibilidade","",1,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-28 09:00:00
"83","gente boa","estacionamento","",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","",0,2023-12-06 19:00:00
"84","comente","acessibilidade","O sorriso e a simpatia dos funcionários.",5,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-23 13:00:00
"85","organização","estacionamento","",4,"","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-27 21:00:00
"86","habilidosos","conforto","A limpeza e organização do local foram impecáveis.",2,"","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-08 01:00:00
"87","organização","conforto","",4,"","facil acesso","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 20:00:00
"88","comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-29 03:00:00
"89","organização","estacionamento","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-15 01:00:00
"90","gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",0,2023-11-24 13:00:00
"91","organização","temperatura","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","",1,2023-11-18 05:00:00
"92","gente boa","conforto","",1,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-12 16:00:00
"93","gente boa","instagramavel","",4,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-14 19:00:00
"94","gente boa","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-08 12:00:00
"95","tem atencao","conforto","O estilo moderno e acolhedor do interior.",4,"Mais variedade de cervejas artesanais.","","",0,2023-11-17 15:00:00
"96","tem atencao","temperatura","",4,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-11-24 15:00:00
"97","comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Mais variedade de cervejas artesanais.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-06 02:00:00
"98","tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"","o milkshake, eu viria só por ele","",0,2023-12-30 09:00:00
"99","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",4,"","facil acesso","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-13 05:00:00
"100","gente boa","estacionamento","",4,"Seria ótimo ter uma área para crianças brincarem.","","",0,2023-12-27 02:00:00
"101","comente","instagramavel","A limpeza e organização do local foram impecáveis.",3,"","","",0,2023-12-02 19:00:00
"102","comente","temperatura","A limpeza e organização do local foram impecáveis.",5,"","o milkshake, eu viria só por ele","",1,2023-11-02 17:00:00
"103","gente boa","estacionamento","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-03 03:00:00
"104","organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-24 08:00:00
"105","habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-03 08:00:00
"106","organização","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-09 01:00:00
"107","organização","temperatura","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-27 03:00:00
"108","tem atencao","conforto","",4,"","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",1,2023-11-21 21:00:00
"109","habilidosos","conforto","",4,"Mais variedade de cervejas artesanais.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-08 07:00:00
"110","organização","conforto","",1,"Seria melhor se o restaurante aceitasse reservas online.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-24 16:00:00
"111","comente","temperatura","A limpeza e organização do local foram impecáveis.",2,"","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-29 12:00:00
"112","tem atencao","conforto","",5,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-01 05:00:00
"113","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-21 03:00:00
"114","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",5,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-23 11:00:00
"115","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",3,"","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-23 14:00:00
"116","habilidosos","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","o milkshake, eu viria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-15 04:00:00
"117","comente","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Gostaria de ver opções de pratos veganos no menu.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-09 01:00:00
"118","organização","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-11-11 23:00:00
"119","habilidosos","temperatura","",5,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-05 08:00:00
"120","comente","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Uma noite temática por semana seria interessante.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-12 01:00:00
"121","tem atencao","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-14 06:00:00
"122","organização","estacionamento","",3,"","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-12 10:00:00
"123","comente","temperatura","",3,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","",0,2023-11-12 03:00:00
"124","comente","temperatura","",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-28 12:00:00
"125","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"","as sobremesas são maravilhosas, nunca mudem","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-20 13:00:00
"126","tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",3,"Uma noite temática por semana seria interessante.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-16 04:00:00
"127","tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-02 20:00:00
"128","organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Seria melhor se o restaurante aceitasse reservas online.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-18 05:00:00
"129","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-28 23:00:00
"130","habilidosos","conforto","",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-26 09:00:00
"131","tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-30 14:00:00
"132","comente","temperatura","O sorriso e a simpatia dos funcionários.",4,"","lugar arrumado","",1,2023-11-23 16:00:00
"133","organização","estacionamento","",2,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","",1,2023-12-01 15:00:00
"134","comente","conforto","O estilo moderno e acolhedor do interior.",2,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-27 07:00:00
"135","gente boa","acessibilidade","",4,"","o milkshake, eu viria só por ele","",0,2023-11-20
"136","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-13 23:00:00
"137","organização","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-21 09:00:00
"138","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",5,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-12-17 15:00:00
"139","tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",5,"Mais variedade de cervejas artesanais.","banheiros cheirosos","",0,2023-12-05 11:00:00
"140","habilidosos","conforto","",4,"","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-28 06:00:00
"141","gente boa","temperatura","A limpeza e organização do local foram impecáveis.",4,"Espero que o tempo de espera para ser atendido seja menor.","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-10 14:00:00
"142","gente boa","acessibilidade","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-12-12 23:00:00
"143","tem atencao","estacionamento","",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-23 20:00:00
"144","habilidosos","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","banheiros cheirosos","",0,2023-12-09 12:00:00
"145","tem atencao","estacionamento","",2,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","",0,2023-11-09 21:00:00
"146","organização","temperatura","",4,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","",1,2023-11-14 23:00:00
"147","tem atencao","acessibilidade","",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-11-06 03:00:00
"148","habilidosos","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","",0,2023-11-28 08:00:00
"149","tem atencao","temperatura","O estilo moderno e acolhedor do interior.",3,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-26 20:00:00
"150","habilidosos","acessibilidade","",4,"","banheiros cheirosos","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-04 11:00:00
"151","habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-26 12:00:00
"152","organização","instagramavel","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-12-06 14:00:00
"153","gente boa","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","","",0,2023-11-29 06:00:00
"154","tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"","","",0,2023-11-20
"155","gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-05 08:00:00
"156","tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-15 10:00:00
"157","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",1,"Uma noite temática por semana seria interessante.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-12-18 21:00:00
"158","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Seria ótimo ter uma área para crianças brincarem.","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-23 16:00:00
"159","organização","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-14 06:00:00
